0, 1, 0, 95.4995, 49.5525, 0.578007, 0.275917, 0.0566075, 0.0485205, 500, 500, 44.9041, 45.947,
0, 1, 1, 95.4995, 49.5525, 0.578007, 0.275917, 0.0566075, 0.0485205, 500, 500, 0.00310167, 0.00325635,
0, 1, 0, 406.092, 439.827, 0.246581, 0.09976, 0.174511, 0.0266821, 500, 500, 2.14603, 2.17511,
0, 1, 1, 406.092, 439.827, 0.246581, 0.09976, 0.174511, 0.0266821, 500, 500, 20.0192, 33.735,
0, 1, 0, 129.003, 202.862, 0.266648, 0.339256, 0.191004, 0.0590933, 500, 500, 0.0781575, 0.0795396,
0, 1, 1, 129.003, 202.862, 0.266648, 0.339256, 0.191004, 0.0590933, 500, 500, 65.8807, 73.859,
0, 1, 0, 72.9064, 18.911, 0.776151, 0.158758, 0.187268, 0.122674, 500, 500, 49.9322, 53.9954,
0, 1, 1, 72.9064, 18.911, 0.776151, 0.158758, 0.187268, 0.122674, 500, 500, 0, 2.58716e-21,
0, 1, 0, 182.491, 171.088, 0.0609135, 0.271125, 0.0729345, 0.0425318, 500, 500, 12.6857, 12.6861,
0, 1, 1, 182.491, 171.088, 0.0609135, 0.271125, 0.0729345, 0.0425318, 500, 500, 0.996487, 0.999698,
0, 1, 0, 231.716, 142.859, 0.419233, 0.277889, 0.137702, 0.0558522, 500, 500, 91.5262, 91.5269,
0, 1, 1, 231.716, 142.859, 0.419233, 0.277889, 0.137702, 0.0558522, 500, 500, 0.0182456, 0.0191773,
0, 1, 0, 119.04, 70.281, 0.880135, 0.288633, 0.127068, 0.0618476, 500, 500, 50.0133, 50.1375,
0, 1, 1, 119.04, 70.281, 0.880135, 0.288633, 0.127068, 0.0618476, 500, 500, 0.124493, 0.129476,
0, 1, 0, 269.438, 273.197, 0.842702, 0.20559, 0.156712, 0.0590119, 500, 500, 28.329, 28.3209,
0, 1, 1, 269.438, 273.197, 0.842702, 0.20559, 0.156712, 0.0590119, 500, 500, 11.3613, 14.3955,
0, 1, 0, 260.053, 346.804, 0.278283, 0.21759, 0.0270118, 0.00277012, 500, 500, 0.0803238, 0.082178,
0, 1, 1, 260.053, 346.804, 0.278283, 0.21759, 0.0270118, 0.00277012, 500, 500, 84.4346, 86.751,
0, 1, 0, 37.2777, 63.3443, 0.0786348, 0.373887, 0.0962466, 0.0551093, 500, 500, 2.33503e-07, 3.19039e-07,
0, 1, 1, 37.2777, 63.3443, 0.0786348, 0.373887, 0.0962466, 0.0551093, 500, 500, 25.7502, 26.0666,
0, 1, 0, 362.679, 320.116, 0.68513, 0.13039, 0.135606, 0.0791435, 500, 500, 52.7887, 52.7863,
0, 1, 1, 362.679, 320.116, 0.68513, 0.13039, 0.135606, 0.0791435, 500, 500, 0.966356, 1.05717,
0, 1, 0, 333.458, 424.321, 0.748204, 0.344196, 0.182271, 0.181798, 500, 500, 11.5036, 11.7412,
0, 1, 1, 333.458, 424.321, 0.748204, 0.344196, 0.182271, 0.181798, 500, 500, 90.68, 97.4036,
0, 1, 0, 381.635, 452.652, 0.843518, 0.116111, 0.0650336, 0.0544183, 500, 500, 1.18858, 1.19441,
0, 1, 1, 381.635, 452.652, 0.843518, 0.116111, 0.0650336, 0.0544183, 500, 500, 65.1654, 71.017,
0, 1, 0, 197.458, 256.851, 0.430824, 0.0841839, 0.0691974, 0.0603658, 500, 500, 3.2368e-06, 5.84254e-06,
0, 1, 1, 197.458, 256.851, 0.430824, 0.0841839, 0.0691974, 0.0603658, 500, 500, 56.9179, 59.393,
0, 1, 0, 264.977, 285.209, 0.764986, 0.378853, 0.163161, 0.113766, 500, 500, 28.3068, 28.4095,
0, 1, 1, 264.977, 285.209, 0.764986, 0.378853, 0.163161, 0.113766, 500, 500, 37.1581, 40.0791,
0, 1, 0, 105.053, 101.555, 0.411526, 0.270975, 0.170184, 0.115303, 500, 500, 9.84959, 9.84907,
0, 1, 1, 105.053, 101.555, 0.411526, 0.270975, 0.170184, 0.115303, 500, 500, 4.35088, 4.55651,
0, 1, 0, 384.215, 357.885, 0.896344, 0.270391, 0.145402, 0.140719, 500, 500, 46.9261, 48.7507,
0, 1, 1, 384.215, 357.885, 0.896344, 0.270391, 0.145402, 0.140719, 500, 500, 22.3948, 23.1347,
0, 1, 0, 169.734, 132.958, 0.995815, 0.31325, 0.0271308, 0.0118988, 500, 500, 43.5346, 43.5357,
0, 1, 1, 169.734, 132.958, 0.995815, 0.31325, 0.0271308, 0.0118988, 500, 500, 5.21387, 5.25999,
0, 1, 0, 246.836, 299.028, 0.461992, 0.370474, 0.0299308, 0.0148708, 500, 500, 9.08617, 9.08262,
0, 1, 1, 246.836, 299.028, 0.461992, 0.370474, 0.0299308, 0.0148708, 500, 500, 58.8617, 59.4483,
0, 1, 0, 66.7412, 78.571, 0.358844, 0.0980425, 0.0503451, 0.0214808, 500, 500, 0.00610237, 0.00666093,
0, 1, 1, 66.7412, 78.571, 0.358844, 0.0980425, 0.0503451, 0.0214808, 500, 500, 10.9417, 11.8298,
0, 1, 0, 49.5549, 76.3391, 0.895392, 0.230995, 0.0599962, 0.00635763, 500, 500, 0.206433, 0.207557,
0, 1, 1, 49.5549, 76.3391, 0.895392, 0.230995, 0.0599962, 0.00635763, 500, 500, 23.2792, 26.7842,
0, 1, 0, 329.354, 356.573, 0.267633, 0.390634, 0.0766267, 0.0642105, 500, 500, 16.1795, 16.1842,
0, 1, 1, 329.354, 356.573, 0.267633, 0.390634, 0.0766267, 0.0642105, 500, 500, 41.772, 42.1077,
